#{"t_start": 1645379623.556783, "env_id": null}
r,l,t
1.214286,10,96.485857
1.190476,9,96.583932
-0.738095,12,96.791087
-9.642857,16,96.952868
1.285714,13,97.090949
1.214286,10,97.20095
1.214286,10,97.307951
1.071429,4,97.36095
1.238095,11,97.474951
1.285714,13,97.625953
1.261905,12,97.754951
-9.738095,12,97.876951
-0.738095,12,98.007954
1.238095,11,98.20895
-0.690476,14,98.358949
1.285714,13,98.494831
1.190476,9,98.594831
-9.690476,14,98.735829
-0.857143,7,98.820827
1.238095,11,98.937827
1.142857,7,99.019827
1.142857,7,99.100827
1.261905,12,99.224831
-0.833333,8,99.324827
1.190476,9,99.427831
-0.761905,11,99.550202
-0.785714,10,99.739414
1.285714,13,99.877414
-9.666667,15,100.028415
-0.714286,13,100.169414
-0.833333,8,100.266416
1.166667,8,100.35571
1.238095,11,100.470709
1.095238,5,100.531813
1.119048,6,100.600815
1.214286,10,100.708811
-0.761905,11,100.828815
-0.880952,6,100.904812
1.166667,8,100.992815
-0.738095,12,101.198813
-0.809524,9,101.30281
-0.833333,8,101.394811
1.261905,12,101.520984
-9.714286,13,101.876989
-0.904762,5,101.942988
-9.642857,16,102.099351
-0.714286,13,102.237004
-0.833333,8,102.332009
-0.833333,8,102.425355
-0.761905,11,102.549355
1.214286,10,102.65906
1.214286,10,102.766769
1.071429,4,102.892769
1.095238,5,102.953773
-9.738095,12,103.075768
1.190476,9,103.172769
-0.857143,7,103.255769
1.309524,14,103.401769
-0.809524,9,103.502769
1.190476,9,103.60097
1.166667,8,103.693212
-0.690476,14,103.859208
1.095238,5,103.92221
1.119048,6,103.992209
1.166667,8,104.081211
-0.857143,7,104.16621
1.261905,12,104.299212
-0.714286,13,104.52821
1.190476,9,104.629208
1.261905,12,104.758214
1.214286,10,104.86821
-9.714286,13,105.00021
1.095238,5,105.061667
-0.809524,9,105.166523
1.119048,6,105.238523
1.214286,10,105.344523
-0.833333,8,105.438599
1.190476,9,105.539597
-0.809524,9,105.653592
1.142857,7,105.740594
1.190476,9,105.838807
1.214286,10,106.025803
-0.785714,10,106.140804
-0.785714,10,106.254812
-0.833333,8,106.348808
1.238095,11,106.469802
-0.714286,13,106.609803
1.214286,10,106.718803
1.238095,11,106.836378
1.190476,9,106.936375
1.142857,7,107.017375
1.166667,8,107.105376
-0.809524,9,107.204384
-0.833333,8,107.302378
1.190476,9,107.474027
-0.738095,12,107.605024
1.119048,6,107.676027
-0.880952,6,107.754024
1.190476,9,107.855024
1.166667,8,107.948026
-0.666667,15,108.105023
1.238095,11,108.221027
1.142857,7,108.304024
1.119048,6,108.376024
-0.714286,13,108.511027
-9.690476,14,108.668022
1.119048,6,108.749026
1.261905,12,108.953022
1.214286,10,109.055023
1.166667,8,109.141023
1.190476,9,109.234024
-0.880952,6,109.301027
1.166667,8,109.379023
1.166667,8,109.459023
-0.809524,9,109.550027
-0.738095,12,109.667024
-0.761905,11,109.775027
1.214286,10,109.869429
1.357143,16,110.014429
-0.857143,7,110.08943
-0.785714,10,110.18643
1.285714,13,110.372429
1.261905,12,110.483339
1.214286,10,110.577339
1.095238,5,110.631339
1.166667,8,110.712334
-0.785714,10,110.810339
1.190476,9,110.897339
-0.833333,8,110.987338
1.190476,9,111.078338
-0.690476,14,111.21173
1.238095,11,111.31673
1.190476,9,111.40273
1.309524,14,111.598459
1.095238,5,111.653462
1.238095,11,111.758474
-9.714286,13,111.877506
-0.904762,5,111.937517
1.214286,10,112.032537
-0.833333,8,112.11656
-0.761905,11,112.224008
-9.785714,10,112.316021
1.095238,5,112.370021
1.190476,9,112.457041
1.214286,10,112.558052
1.261905,12,112.670318
-0.761905,11,112.777318
1.119048,6,112.840319
1.166667,8,112.983318
1.238095,11,113.086649
-9.761905,11,113.187251
1.285714,13,113.306267
1.071429,4,113.353266
1.095238,5,113.408266
-9.738095,12,113.516266
1.142857,7,113.586729
1.119048,6,113.665098
1.214286,10,113.79409
1.261905,12,113.955287
1.142857,7,114.040285
